Kode|Emiten|Rasio|Saat Ini|Eval|Keterangan
LSIP|PP London Sumatra Indonesia Tbk.|40.43%|2,758,483,901|2,758,483,901|Tetap
MAPI|Mitra Adiperkasa Tbk.|48.64%|8,074,240,000|8,074,240,000|Tetap
MDKA|Merdeka Copper Gold Tbk.|46.70%|11,259,767,310|11,259,767,310|Tetap
MEDC|Medco Energi Internasional Tbk.|25.61%|6,334,330,276|6,437,388,824|Berubah
MIKA|Mitra Keluarga Karyasehat Tbk.|35.41%|5,044,632,358|5,044,632,358|Tetap
MNCN|Media Nusantara Citra Tbk.|54.76%|8,224,708,984|8,241,263,750|Berubah
MPMX|Mitra Pinasthika Mustika Tbk.|32.50%|-|1,450,463,065|Baru
MTEL|Dayamitra Telekomunikasi Tbk.|15.37%|13,704,885,812|12,838,175,512|Berubah
MYOR|Mayora Indah Tbk.|15.49%|-|3,463,362,587|Baru
PGAS|Perusahaan Gas Negara Tbk.|43.04%|10,433,545,128|10,433,545,128|Tetap
PNLF|Panin Financial Tbk.|32.01%|-|10,250,265,661|Baru
PTBA|Bukit Asam Tbk.|33.43%|3,851,356,387|3,851,356,387|Tetap
PTPP|PP (Persero) Tbk.|48.99%|3,037,329,714|3,037,329,714|Tetap
PWON|Pakuwon Jati Tbk.|30.98%|14,919,844,824|14,919,844,824|Tetap
RMKE|RMK Energy Tbk.|16.80%|-|735,000,000|Baru
SCMA|Surya Citra Media Tbk.|24.32%|17,989,642,504|17,989,642,504|Tetap
SIDO|Industri Jamu dan Farmasi Sido Muncul Tbk.|22.39%|6,717,000,000|6,717,000,000|Tetap
SMDR|Samudera Indonesia  Tbk.|24.32%|796,836,696|796,509,184|Berubah
SMGR|Semen Indonesia (Persero) Tbk.|48.77%|3,319,056,985|3,292,726,101|Berubah
SMRA|Summarecon Agung Tbk.|53.74%|8,871,704,636|8,871,704,636|Tetap
SRTG|Saratoga Investama Sedaya Tbk.|11.87%|1,622,354,266|1,610,145,915|Berubah
TAPG|Triputra Agro Persada Tbk.|13.43%|2,668,181,376|2,666,196,122|Berubah
TBIG|Tower Bersama Infrastructure Tbk.|24.59%|5,870,428,556|5,571,356,164|Berubah
TINS|Timah Tbk.|34.96%|2,603,734,608|2,603,734,608|Tetap
TKIM|Pabrik Kertas Tjiwi Kimia Tbk.|28.46%|874,193,178|886,023,428|Berubah
TLKM|Telkom Indonesia (Persero) Tbk.|47.85%|39,703,808,213|41,936,453,660|Berubah
TOWR|Sarana Menara Nusantara Tbk.|41.94%|21,405,736,650|21,395,533,725|Berubah
TPIA|Chandra Asri Petrochemical Tbk.|14.90%|12,890,220,219|12,890,220,219|Tetap
UNTR|United Tractors Tbk.|37.80%|1,445,054,352|1,409,991,081|Berubah
UNVR|Unilever Indonesia Tbk.|14.45%|5,508,860,000|5,512,675,000|Berubah
WIKA|Wijaya Karya (Persero) Tbk.|34.92%|3,132,307,019|3,132,307,019|Tetap
WSKT|Waskita Karya (Persero) Tbk.|24.65%|7,100,877,929|7,100,877,929|Tetap
|||||
|||||
|||||
Kode|Nama Saham||||
|||||
ADHI|Adhi Karya (Persero) Tbk.||||
AGII|Samator Indo Gas Tbk.||||
BACA|Bank Capital Indonesia Tbk.||||
BTPS|Bank BTPN Syariah Tbk.||||
DMMX|Digital Mediatama Maxima Tbk.||||
DSNG|Dharma Satya Nusantara Tbk.||||
LPPF|Matahari Department Store Tbk.||||
